Day,Store,Group Size,Side,Start Time,End Time,Checkout Time,Flavor Tour,Notes
Thursday,Hatmakers,2,L,2025-07-31 16:37:32,2025-07-31 16:42:10,2025-07-31 16:41:52,Yes,
Thursday,Hatmakers,1,L,2025-07-31 16:43:24,2025-07-31 16:46:15,,No,
Thursday,Hatmakers,1,L,2025-07-31 16:52:49,2025-07-31 16:54:06,,No,
Thursday,Hatmakers,1,R,2025-07-31 16:53:19,2025-07-31 16:56:01,2025-07-31 16:55:51,Yes,
